Phrase,Entities
Je quitte Lyon pour aller à Marseille avec un arrêt à Avignon.,"[[25, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 56, 'ESCALE']]"
"Je souhaite voyager de Toulouse à Paris, en m'arrêtant à Lyon.","[[20, 25, 'DEPARTURE'], [36, 43, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je pars de Strasbourg pour rejoindre Bordeaux, avec une escale à Nantes.","[[20, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 56, 'ESCALE']]"
Je vais de Nice à Lille avec un arrêt à Lyon.,"[[12, 17, 'DEPARTURE'], [30, 36, 'DESTINATION'], [45, 50, 'ESCALE']]"
Je pars de Paris pour aller à Toulouse en m'arrêtant à Montpellier.,"[[25, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je vais de Clermont-Ferrand à Rennes, avec une escale à Nantes.","[[20, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je quitte Lyon pour rejoindre Nice, avec un arrêt à Marseille.","[[25, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 56, 'ESCALE']]"
"Je pars de Bordeaux à Lyon, en passant par Toulouse.","[[22, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je voyage de Nantes à Lille, avec une escale à Paris.","[[28, 35, 'DEPARTURE'], [41, 47, 'DESTINATION'], [50, 56, 'ESCALE']]"
"Je vais de Marseille à Nice, en m'arrêtant à Toulon.","[[30, 36, 'DEPARTURE'], [41, 45, 'DESTINATION'], [50, 56, 'ESCALE']]"
Je souhaite aller de Lyon à Strasbourg avec une escale à Dijon.,"[[25, 30, 'DEPARTURE'], [38, 44, 'DESTINATION'], [50, 55, 'ESCALE']]"
"Je pars de Nice pour rejoindre Toulouse, avec un arrêt à Marseille.","[[12, 17, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
Je vais de Lille à Marseille en m'arrêtant à Lyon.,"[[12, 17, 'DEPARTURE'], [30, 36, 'DESTINATION'], [45, 50, 'ESCALE']]"
Je quitte Strasbourg pour aller à Clermont-Ferrand avec une escale à Lyon.,"[[20, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 55, 'ESCALE']]"
"Je voyage de Paris à Nantes, en passant par Angers.","[[25, 30, 'DEPARTURE'], [38, 44, 'DESTINATION'], [48, 54, 'ESCALE']]"
Je pars de Bordeaux pour aller à Strasbourg avec un arrêt à Lyon.,"[[22, 30, 'DEPARTURE'], [38, 44, 'DESTINATION'], [50, 55, 'ESCALE']]"
"Je vais de Rennes à Toulouse, en m'arrêtant à Nantes.","[[15, 22, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je quitte Lyon pour rejoindre Nice, avec une escale à Marseille.","[[25, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 56, 'ESCALE']]"
Je voyage de Lille à Paris en m'arrêtant à Amiens.,"[[12, 17, 'DEPARTURE'], [29, 35, 'DESTINATION'], [41, 47, 'ESCALE']]"
Je pars de Nice pour aller à Clermont-Ferrand avec une escale à Lyon.,"[[12, 17, 'DEPARTURE'], [30, 36, 'DESTINATION'], [45, 50, 'ESCALE']]"
"Je vais de Bordeaux à Nantes, en passant par Angers.","[[22, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
Je quitte Lyon pour aller à Marseille avec un arrêt à Avignon.,"[[25, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 56, 'ESCALE']]"
"Je souhaite voyager de Toulouse à Paris, en m'arrêtant à Lyon.","[[20, 25, 'DEPARTURE'], [36, 43, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je pars de Strasbourg pour rejoindre Bordeaux, avec une escale à Nantes.","[[20, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 56, 'ESCALE']]"
Je vais de Nice à Lille avec un arrêt à Lyon.,"[[12, 17, 'DEPARTURE'], [30, 36, 'DESTINATION'], [45, 50, 'ESCALE']]"
Je pars de Paris pour aller à Toulouse en m'arrêtant à Montpellier.,"[[25, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je vais de Clermont-Ferrand à Rennes, avec une escale à Nantes.","[[20, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je quitte Lyon pour rejoindre Nice, avec un arrêt à Marseille.","[[25, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 56, 'ESCALE']]"
"Je pars de Bordeaux à Lyon, en passant par Toulouse.","[[22, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je voyage de Nantes à Lille, avec une escale à Paris.","[[28, 35, 'DEPARTURE'], [41, 47, 'DESTINATION'], [50, 56, 'ESCALE']]"
"Je vais de Marseille à Nice, en m'arrêtant à Toulon.","[[30, 36, 'DEPARTURE'], [41, 45, 'DESTINATION'], [50, 56, 'ESCALE']]"
Je souhaite aller de Lyon à Strasbourg avec une escale à Dijon.,"[[25, 30, 'DEPARTURE'], [38, 44, 'DESTINATION'], [50, 55, 'ESCALE']]"
"Je pars de Nice pour rejoindre Toulouse, avec un arrêt à Marseille.","[[12, 17, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
Je vais de Lille à Marseille en m'arrêtant à Lyon.,"[[12, 17, 'DEPARTURE'], [30, 36, 'DESTINATION'], [45, 50, 'ESCALE']]"
Je quitte Strasbourg pour aller à Clermont-Ferrand avec une escale à Lyon.,"[[20, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 55, 'ESCALE']]"
"Je voyage de Paris à Nantes, en passant par Angers.","[[25, 30, 'DEPARTURE'], [38, 44, 'DESTINATION'], [48, 54, 'ESCALE']]"
Je pars de Bordeaux pour aller à Strasbourg avec un arrêt à Lyon.,"[[22, 30, 'DEPARTURE'], [38, 44, 'DESTINATION'], [50, 55, 'ESCALE']]"
"Je vais de Rennes à Toulouse, en m'arrêtant à Nantes.","[[15, 22, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je quitte Lyon pour rejoindre Nice, avec une escale à Marseille.","[[25, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 56, 'ESCALE']]"
Je voyage de Lille à Paris en m'arrêtant à Amiens.,"[[12, 17, 'DEPARTURE'], [29, 35, 'DESTINATION'], [41, 47, 'ESCALE']]"
Je pars de Nice pour aller à Clermont-Ferrand avec une escale à Lyon.,"[[12, 17, 'DEPARTURE'], [30, 36, 'DESTINATION'], [45, 50, 'ESCALE']]"
"Je vais de Bordeaux à Nantes, en passant par Angers.","[[22, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
Je quitte Lyon pour aller à Marseille avec un arrêt à Avignon.,"[[25, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 56, 'ESCALE']]"
"Je souhaite voyager de Toulouse à Paris, en m'arrêtant à Lyon.","[[20, 25, 'DEPARTURE'], [36, 43, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je pars de Strasbourg pour rejoindre Bordeaux, avec une escale à Nantes.","[[20, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 56, 'ESCALE']]"
Je vais de Nice à Lille avec un arrêt à Lyon.,"[[12, 17, 'DEPARTURE'], [30, 36, 'DESTINATION'], [45, 50, 'ESCALE']]"
Je pars de Paris pour aller à Toulouse en m'arrêtant à Montpellier.,"[[25, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je vais de Clermont-Ferrand à Rennes, avec une escale à Nantes.","[[20, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je quitte Lyon pour rejoindre Nice, avec un arrêt à Marseille.","[[25, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 56, 'ESCALE']]"
"Je pars de Bordeaux à Lyon, en passant par Toulouse.","[[22, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je voyage de Nantes à Lille, avec une escale à Paris.","[[28, 35, 'DEPARTURE'], [41, 47, 'DESTINATION'], [50, 56, 'ESCALE']]"
"Je vais de Marseille à Nice, en m'arrêtant à Toulon.","[[30, 36, 'DEPARTURE'], [41, 45, 'DESTINATION'], [50, 56, 'ESCALE']]"
Je souhaite aller de Lyon à Strasbourg avec une escale à Dijon.,"[[25, 30, 'DEPARTURE'], [38, 44, 'DESTINATION'], [50, 55, 'ESCALE']]"
"Je pars de Nice pour rejoindre Toulouse, avec un arrêt à Marseille.","[[12, 17, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
Je vais de Lille à Marseille en m'arrêtant à Lyon.,"[[12, 17, 'DEPARTURE'], [30, 36, 'DESTINATION'], [45, 50, 'ESCALE']]"
Je quitte Strasbourg pour aller à Clermont-Ferrand avec une escale à Lyon.,"[[20, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 55, 'ESCALE']]"
"Je voyage de Paris à Nantes, en passant par Angers.","[[25, 30, 'DEPARTURE'], [38, 44, 'DESTINATION'], [48, 54, 'ESCALE']]"
Je pars de Bordeaux pour aller à Strasbourg avec un arrêt à Lyon.,"[[22, 30, 'DEPARTURE'], [38, 44, 'DESTINATION'], [50, 55, 'ESCALE']]"
"Je vais de Rennes à Toulouse, en m'arrêtant à Nantes.","[[15, 22, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je quitte Lyon pour rejoindre Nice, avec une escale à Marseille.","[[25, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 56, 'ESCALE']]"
Je voyage de Lille à Paris en m'arrêtant à Amiens.,"[[12, 17, 'DEPARTURE'], [29, 35, 'DESTINATION'], [41, 47, 'ESCALE']]"
Je pars de Nice pour aller à Clermont-Ferrand avec une escale à Lyon.,"[[12, 17, 'DEPARTURE'], [30, 36, 'DESTINATION'], [45, 50, 'ESCALE']]"
"Je vais de Bordeaux à Nantes, en passant par Angers.","[[22, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
Je quitte Lyon pour aller à Marseille avec un arrêt à Avignon.,"[[25, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 56, 'ESCALE']]"
"Je souhaite voyager de Toulouse à Paris, en m'arrêtant à Lyon.","[[20, 25, 'DEPARTURE'], [36, 43, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je pars de Strasbourg pour rejoindre Bordeaux, avec une escale à Nantes.","[[20, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 56, 'ESCALE']]"
Je vais de Nice à Lille avec un arrêt à Lyon.,"[[12, 17, 'DEPARTURE'], [30, 36, 'DESTINATION'], [45, 50, 'ESCALE']]"
Je pars de Paris pour aller à Toulouse en m'arrêtant à Montpellier.,"[[25, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je vais de Clermont-Ferrand à Rennes, avec une escale à Nantes.","[[20, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je quitte Lyon pour rejoindre Nice, avec un arrêt à Marseille.","[[25, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 56, 'ESCALE']]"
"Je pars de Bordeaux à Lyon, en passant par Toulouse.","[[22, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je voyage de Nantes à Lille, avec une escale à Paris.","[[28, 35, 'DEPARTURE'], [41, 47, 'DESTINATION'], [50, 56, 'ESCALE']]"
"Je vais de Marseille à Nice, en m'arrêtant à Toulon.","[[30, 36, 'DEPARTURE'], [41, 45, 'DESTINATION'], [50, 56, 'ESCALE']]"
Je souhaite aller de Lyon à Strasbourg avec une escale à Dijon.,"[[25, 30, 'DEPARTURE'], [38, 44, 'DESTINATION'], [50, 55, 'ESCALE']]"
"Je pars de Nice pour rejoindre Toulouse, avec un arrêt à Marseille.","[[12, 17, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
Je vais de Lille à Marseille en m'arrêtant à Lyon.,"[[12, 17, 'DEPARTURE'], [30, 36, 'DESTINATION'], [45, 50, 'ESCALE']]"
Je quitte Strasbourg pour aller à Clermont-Ferrand avec une escale à Lyon.,"[[20, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 55, 'ESCALE']]"
"Je voyage de Paris à Nantes, en passant par Angers.","[[25, 30, 'DEPARTURE'], [38, 44, 'DESTINATION'], [48, 54, 'ESCALE']]"
Je pars de Bordeaux pour aller à Strasbourg avec un arrêt à Lyon.,"[[22, 30, 'DEPARTURE'], [38, 44, 'DESTINATION'], [50, 55, 'ESCALE']]"
"Je vais de Rennes à Toulouse, en m'arrêtant à Nantes.","[[15, 22, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je quitte Lyon pour rejoindre Nice, avec une escale à Marseille.","[[25, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 56, 'ESCALE']]"
Je voyage de Lille à Paris en m'arrêtant à Amiens.,"[[12, 17, 'DEPARTURE'], [29, 35, 'DESTINATION'], [41, 47, 'ESCALE']]"
Je pars de Nice pour aller à Clermont-Ferrand avec une escale à Lyon.,"[[12, 17, 'DEPARTURE'], [30, 36, 'DESTINATION'], [45, 50, 'ESCALE']]"
"Je vais de Bordeaux à Nantes, en passant par Angers.","[[22, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
Je quitte Lyon pour aller à Marseille avec un arrêt à Avignon.,"[[25, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 56, 'ESCALE']]"
"Je souhaite voyager de Toulouse à Paris, en m'arrêtant à Lyon.","[[20, 25, 'DEPARTURE'], [36, 43, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je pars de Strasbourg pour rejoindre Bordeaux, avec une escale à Nantes.","[[20, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 56, 'ESCALE']]"
Je vais de Nice à Lille avec un arrêt à Lyon.,"[[12, 17, 'DEPARTURE'], [30, 36, 'DESTINATION'], [45, 50, 'ESCALE']]"
Je pars de Paris pour aller à Toulouse en m'arrêtant à Montpellier.,"[[25, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je vais de Clermont-Ferrand à Rennes, avec une escale à Nantes.","[[20, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je quitte Lyon pour rejoindre Nice, avec un arrêt à Marseille.","[[25, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 56, 'ESCALE']]"
"Je pars de Bordeaux à Lyon, en passant par Toulouse.","[[22, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je voyage de Nantes à Lille, avec une escale à Paris.","[[28, 35, 'DEPARTURE'], [41, 47, 'DESTINATION'], [50, 56, 'ESCALE']]"
"Je vais de Marseille à Nice, en m'arrêtant à Toulon.","[[30, 36, 'DEPARTURE'], [41, 45, 'DESTINATION'], [50, 56, 'ESCALE']]"
Je souhaite aller de Lyon à Strasbourg avec une escale à Dijon.,"[[25, 30, 'DEPARTURE'], [38, 44, 'DESTINATION'], [50, 55, 'ESCALE']]"
"Je pars de Nice pour rejoindre Toulouse, avec un arrêt à Marseille.","[[12, 17, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
Je vais de Lille à Marseille en m'arrêtant à Lyon.,"[[12, 17, 'DEPARTURE'], [30, 36, 'DESTINATION'], [45, 50, 'ESCALE']]"
Je quitte Strasbourg pour aller à Clermont-Ferrand avec une escale à Lyon.,"[[20, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 55, 'ESCALE']]"
"Je voyage de Paris à Nantes, en passant par Angers.","[[25, 30, 'DEPARTURE'], [38, 44, 'DESTINATION'], [48, 54, 'ESCALE']]"
Je pars de Bordeaux pour aller à Strasbourg avec un arrêt à Lyon.,"[[22, 30, 'DEPARTURE'], [38, 44, 'DESTINATION'], [50, 55, 'ESCALE']]"
"Je vais de Rennes à Toulouse, en m'arrêtant à Nantes.","[[15, 22, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je quitte Lyon pour rejoindre Nice, avec une escale à Marseille.","[[25, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 56, 'ESCALE']]"
Je voyage de Lille à Paris en m'arrêtant à Amiens.,"[[12, 17, 'DEPARTURE'], [29, 35, 'DESTINATION'], [41, 47, 'ESCALE']]"
Je pars de Nice pour aller à Clermont-Ferrand avec une escale à Lyon.,"[[12, 17, 'DEPARTURE'], [30, 36, 'DESTINATION'], [45, 50, 'ESCALE']]"
"Je vais de Bordeaux à Nantes, en passant par Angers.","[[22, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
Je quitte Lyon pour aller à Marseille avec un arrêt à Avignon.,"[[25, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 56, 'ESCALE']]"
"Je souhaite voyager de Toulouse à Paris, en m'arrêtant à Lyon.","[[20, 25, 'DEPARTURE'], [36, 43, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je pars de Strasbourg pour rejoindre Bordeaux, avec une escale à Nantes.","[[20, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 56, 'ESCALE']]"
Je vais de Nice à Lille avec un arrêt à Lyon.,"[[12, 17, 'DEPARTURE'], [30, 36, 'DESTINATION'], [45, 50, 'ESCALE']]"
Je pars de Paris pour aller à Toulouse en m'arrêtant à Montpellier.,"[[25, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je vais de Clermont-Ferrand à Rennes, avec une escale à Nantes.","[[20, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je quitte Lyon pour rejoindre Nice, avec un arrêt à Marseille.","[[25, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 56, 'ESCALE']]"
"Je pars de Bordeaux à Lyon, en passant par Toulouse.","[[22, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je voyage de Nantes à Lille, avec une escale à Paris.","[[28, 35, 'DEPARTURE'], [41, 47, 'DESTINATION'], [50, 56, 'ESCALE']]"
"Je vais de Marseille à Nice, en m'arrêtant à Toulon.","[[30, 36, 'DEPARTURE'], [41, 45, 'DESTINATION'], [50, 56, 'ESCALE']]"
Je souhaite aller de Lyon à Strasbourg avec une escale à Dijon.,"[[25, 30, 'DEPARTURE'], [38, 44, 'DESTINATION'], [50, 55, 'ESCALE']]"
"Je pars de Nice pour rejoindre Toulouse, avec un arrêt à Marseille.","[[12, 17, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
Je vais de Lille à Marseille en m'arrêtant à Lyon.,"[[12, 17, 'DEPARTURE'], [30, 36, 'DESTINATION'], [45, 50, 'ESCALE']]"
Je quitte Strasbourg pour aller à Clermont-Ferrand avec une escale à Lyon.,"[[20, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 55, 'ESCALE']]"
"Je voyage de Paris à Nantes, en passant par Angers.","[[25, 30, 'DEPARTURE'], [38, 44, 'DESTINATION'], [48, 54, 'ESCALE']]"
Je pars de Bordeaux pour aller à Strasbourg avec un arrêt à Lyon.,"[[22, 30, 'DEPARTURE'], [38, 44, 'DESTINATION'], [50, 55, 'ESCALE']]"
"Je vais de Rennes à Toulouse, en m'arrêtant à Nantes.","[[15, 22, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je quitte Lyon pour rejoindre Nice, avec une escale à Marseille.","[[25, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 56, 'ESCALE']]"
Je voyage de Lille à Paris en m'arrêtant à Amiens.,"[[12, 17, 'DEPARTURE'], [29, 35, 'DESTINATION'], [41, 47, 'ESCALE']]"
Je pars de Nice pour aller à Clermont-Ferrand avec une escale à Lyon.,"[[12, 17, 'DEPARTURE'], [30, 36, 'DESTINATION'], [45, 50, 'ESCALE']]"
"Je vais de Bordeaux à Nantes, en passant par Angers.","[[22, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
Je quitte Lyon pour aller à Marseille avec un arrêt à Avignon.,"[[25, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 56, 'ESCALE']]"
"Je souhaite voyager de Toulouse à Paris, en m'arrêtant à Lyon.","[[20, 25, 'DEPARTURE'], [36, 43, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je pars de Strasbourg pour rejoindre Bordeaux, avec une escale à Nantes.","[[20, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 56, 'ESCALE']]"
Je vais de Nice à Lille avec un arrêt à Lyon.,"[[12, 17, 'DEPARTURE'], [30, 36, 'DESTINATION'], [45, 50, 'ESCALE']]"
Je pars de Paris pour aller à Toulouse en m'arrêtant à Montpellier.,"[[25, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je vais de Clermont-Ferrand à Rennes, avec une escale à Nantes.","[[20, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je quitte Lyon pour rejoindre Nice, avec un arrêt à Marseille.","[[25, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 56, 'ESCALE']]"
"Je pars de Bordeaux à Lyon, en passant par Toulouse.","[[22, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je voyage de Nantes à Lille, avec une escale à Paris.","[[28, 35, 'DEPARTURE'], [41, 47, 'DESTINATION'], [50, 56, 'ESCALE']]"
"Je vais de Marseille à Nice, en m'arrêtant à Toulon.","[[30, 36, 'DEPARTURE'], [41, 45, 'DESTINATION'], [50, 56, 'ESCALE']]"
Je souhaite aller de Lyon à Strasbourg avec une escale à Dijon.,"[[25, 30, 'DEPARTURE'], [38, 44, 'DESTINATION'], [50, 55, 'ESCALE']]"
"Je pars de Nice pour rejoindre Toulouse, avec un arrêt à Marseille.","[[12, 17, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
Je vais de Lille à Marseille en m'arrêtant à Lyon.,"[[12, 17, 'DEPARTURE'], [30, 36, 'DESTINATION'], [45, 50, 'ESCALE']]"
Je quitte Strasbourg pour aller à Clermont-Ferrand avec une escale à Lyon.,"[[20, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 55, 'ESCALE']]"
"Je voyage de Paris à Nantes, en passant par Angers.","[[25, 30, 'DEPARTURE'], [38, 44, 'DESTINATION'], [48, 54, 'ESCALE']]"
Je pars de Bordeaux pour aller à Strasbourg avec un arrêt à Lyon.,"[[22, 30, 'DEPARTURE'], [38, 44, 'DESTINATION'], [50, 55, 'ESCALE']]"
"Je vais de Rennes à Toulouse, en m'arrêtant à Nantes.","[[15, 22, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je quitte Lyon pour rejoindre Nice, avec une escale à Marseille.","[[25, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 56, 'ESCALE']]"
Je voyage de Lille à Paris en m'arrêtant à Amiens.,"[[12, 17, 'DEPARTURE'], [29, 35, 'DESTINATION'], [41, 47, 'ESCALE']]"
Je pars de Nice pour aller à Clermont-Ferrand avec une escale à Lyon.,"[[12, 17, 'DEPARTURE'], [30, 36, 'DESTINATION'], [45, 50, 'ESCALE']]"
"Je vais de Bordeaux à Nantes, en passant par Angers.","[[22, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
Je quitte Lyon pour aller à Marseille avec un arrêt à Avignon.,"[[25, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 56, 'ESCALE']]"
"Je souhaite voyager de Toulouse à Paris, en m'arrêtant à Lyon.","[[20, 25, 'DEPARTURE'], [36, 43, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je pars de Strasbourg pour rejoindre Bordeaux, avec une escale à Nantes.","[[20, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 56, 'ESCALE']]"
Je vais de Nice à Lille avec un arrêt à Lyon.,"[[12, 17, 'DEPARTURE'], [30, 36, 'DESTINATION'], [45, 50, 'ESCALE']]"
Je pars de Paris pour aller à Toulouse en m'arrêtant à Montpellier.,"[[25, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je vais de Clermont-Ferrand à Rennes, avec une escale à Nantes.","[[20, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je quitte Lyon pour rejoindre Nice, avec un arrêt à Marseille.","[[25, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 56, 'ESCALE']]"
"Je pars de Bordeaux à Lyon, en passant par Toulouse.","[[22, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je voyage de Nantes à Lille, avec une escale à Paris.","[[28, 35, 'DEPARTURE'], [41, 47, 'DESTINATION'], [50, 56, 'ESCALE']]"
"Je vais de Marseille à Nice, en m'arrêtant à Toulon.","[[30, 36, 'DEPARTURE'], [41, 45, 'DESTINATION'], [50, 56, 'ESCALE']]"
Je souhaite aller de Lyon à Strasbourg avec une escale à Dijon.,"[[25, 30, 'DEPARTURE'], [38, 44, 'DESTINATION'], [50, 55, 'ESCALE']]"
"Je pars de Nice pour rejoindre Toulouse, avec un arrêt à Marseille.","[[12, 17, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
Je vais de Lille à Marseille en m'arrêtant à Lyon.,"[[12, 17, 'DEPARTURE'], [30, 36, 'DESTINATION'], [45, 50, 'ESCALE']]"
Je quitte Strasbourg pour aller à Clermont-Ferrand avec une escale à Lyon.,"[[20, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 55, 'ESCALE']]"
"Je voyage de Paris à Nantes, en passant par Angers.","[[25, 30, 'DEPARTURE'], [38, 44, 'DESTINATION'], [48, 54, 'ESCALE']]"
Je pars de Bordeaux pour aller à Strasbourg avec un arrêt à Lyon.,"[[22, 30, 'DEPARTURE'], [38, 44, 'DESTINATION'], [50, 55, 'ESCALE']]"
"Je vais de Rennes à Toulouse, en m'arrêtant à Nantes.","[[15, 22, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je quitte Lyon pour rejoindre Nice, avec une escale à Marseille.","[[25, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 56, 'ESCALE']]"
Je voyage de Lille à Paris en m'arrêtant à Amiens.,"[[12, 17, 'DEPARTURE'], [29, 35, 'DESTINATION'], [41, 47, 'ESCALE']]"
Je pars de Nice pour aller à Clermont-Ferrand avec une escale à Lyon.,"[[12, 17, 'DEPARTURE'], [30, 36, 'DESTINATION'], [45, 50, 'ESCALE']]"
