id;Language;Text
460;fr;Y a-t-il un bus entre Bordeaux et Limoges ?  
461;fr;Y a-t-il un train de Montpellier à Avignon tôt le matin ?
462;en;Is there a train from Montpellier to Avignon early in the morning?
463;fr;Puis-je prendre un ferry de Toulon à Ajaccio ?
464;en;Can I take a ferry from Toulon to Ajaccio?
465;fr;Quel est le moyen le plus rapide pour aller de Grenoble à Valence ?
466;en;What is the fastest way to travel from Grenoble to Valence?
467;fr;Combien de temps dure le trajet en voiture entre Orléans et Chartres ?
468;en;How long is the drive from Orléans to Chartres?
469;fr;Est-il possible de voyager de Tours à Blois en vélo ?
470;en;Is it possible to bike from Tours to Blois?
471;fr;Comment aller de Nice à Fréjus sans voiture ?
472;en;How can I travel from Nice to Fréjus without a car?
473;fr;Puis-je faire un aller-retour de Bordeaux à Pau en train dans la journée ?
474;en;Can I do a round trip from Bordeaux to Pau by train in one day?
475;fr;Quel est le meilleur moyen pour aller de Nancy à Metz ?
476;en;What’s the best way to get from Nancy to Metz?
477;fr;Combien de temps dure le trajet en train entre Bayonne et Pau ?
478;en;How long is the train ride between Bayonne and Pau?
479;fr;Est-il possible de rejoindre Clermont-Ferrand depuis Limoges sans passer par l’autoroute ?
480;en;Is it possible to go from Clermont-Ferrand to Limoges without using the highway?
481;fr;Y a-t-il un bus entre Rennes et Saint-Malo ?
482;en;Is there a bus between Rennes and Saint-Malo?
483;fr;Combien de temps faut-il pour aller de Toulouse à Auch en voiture ?
484;en;How long does it take to drive from Toulouse to Auch?
485;fr;Puis-je prendre un bateau de Marseille à Toulon ?
486;en;Can I take a boat from Marseille to Toulon?
487;fr;Y a-t-il un train direct entre Perpignan et Narbonne ?
488;en;Is there a direct train from Perpignan to Narbonne?
489;fr;Comment voyager de Nantes à Saint-Brieuc sans voiture ?
490;en;How can I travel from Nantes to Saint-Brieuc without a car?
491;fr;Puis-je me rendre de Lyon à Grenoble en moins d’une heure ?
492;en;Can I get from Lyon to Grenoble in under an hour?
493;fr;Est-il possible de faire un trajet en vélo entre Dijon et Beaune ?
494;en;Is it possible to bike from Dijon to Beaune?
495;fr;Combien de temps dure le trajet en voiture entre Rouen et Caen ?
496;en;How long is the drive between Rouen and Caen?
497;fr;Y a-t-il un vol entre Paris et Lille ?
498;en;Is there a flight from Paris to Lille?
499;fr;Quel est le moyen le moins cher pour aller de Strasbourg à Mulhouse ?
500;en;What is the cheapest way to travel from Strasbourg to Mulhouse?
