text,tokens,ner_tags,spacy_ner_tags
Pourrais-tu m'aider à rejoindre MÂCON depuis ARMENTIÈRES ?,"['Pourrais', '-', 'tu', ""m'"", 'aider', 'à', 'rejoindre', 'MÂCON', 'depuis', 'ARMENTIÈRES', '?']","[0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 0]","[{'start': 45, 'end': 56, 'label': 'DEP'}, {'start': 32, 'end': 37, 'label': 'ARR'}]"
Pourrais-tu m'indiquer comment aller de KOUNGOU à DAMMARIE-LES-LYS ?,"['Pourrais', '-', 'tu', ""m'"", 'indiquer', 'comment', 'aller', 'de', 'KOUNGOU', 'à', 'DAMMARIE-LES-LYS', '?']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0]","[{'start': 40, 'end': 47, 'label': 'DEP'}, {'start': 50, 'end': 66, 'label': 'ARR'}]"
Pourrais-tu me diriger de BAYONNE vers SARTROUVILLE ?,"['Pourrais', '-', 'tu', 'me', 'diriger', 'de', 'BAYONNE', 'vers', 'SARTROUVILLE', '?']","[0, 0, 0, 0, 0, 0, 1, 0, 3, 0]","[{'start': 26, 'end': 33, 'label': 'DEP'}, {'start': 39, 'end': 51, 'label': 'ARR'}]"
Pourrais-tu me donner les indications pour aller de MALAKOFF à COURBEVOIE ?,"['Pourrais', '-', 'tu', 'me', 'donner', 'les', 'indications', 'pour', 'aller', 'de', 'MALAKOFF', 'à', 'COURBEVOIE', '?']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0]","[{'start': 52, 'end': 60, 'label': 'DEP'}, {'start': 63, 'end': 73, 'label': 'ARR'}]"
Pourrais-tu me donner les indications pour rejoindre MOUGINS depuis SAINTE-MARIE ?,"['Pourrais', '-', 'tu', 'me', 'donner', 'les', 'indications', 'pour', 'rejoindre', 'MOUGINS', 'depuis', 'SAINTE-MARIE', '?']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 0]","[{'start': 68, 'end': 80, 'label': 'DEP'}, {'start': 53, 'end': 60, 'label': 'ARR'}]"
Pourrais-tu me guider vers VILLIERS-LE-BEL depuis TORCY ?,"['Pourrais', '-', 'tu', 'me', 'guider', 'vers', 'VILLIERS-LE-BEL', 'depuis', 'TORCY', '?']","[0, 0, 0, 0, 0, 0, 3, 0, 1, 0]","[{'start': 50, 'end': 55, 'label': 'DEP'}, {'start': 27, 'end': 42, 'label': 'ARR'}]"
Pourrais-tu me guider vers CARCASSONNE depuis LIVRY-GARGAN ?,"['Pourrais', '-', 'tu', 'me', 'guider', 'vers', 'CARCASSONNE', 'depuis', 'LIVRY', '-', 'GARGAN', '?']","[0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0]","[{'start': 46, 'end': 58, 'label': 'DEP'}, {'start': 27, 'end': 38, 'label': 'ARR'}]"
"Pourriez-vous m'indiquer comment aller de BELFORT à LE TAMPON, je vous prie ?","['Pourriez', '-vous', ""m'"", 'indiquer', 'comment', 'aller', 'de', 'BELFORT', 'à', 'LE', 'TAMPON', ',', 'je', 'vous', 'prie', '?']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[{'start': 42, 'end': 49, 'label': 'DEP'}, {'start': 52, 'end': 61, 'label': 'ARR'}]"
Recherche le chemin entre VILLENEUVE-D'ASCQ et LES ABYMES.,"['Recherche', 'le', 'chemin', 'entre', ""VILLENEUVE-D'ASCQ"", 'et', 'LES', 'ABYMES', '.']","[0, 0, 0, 0, 1, 0, 0, 0, 0]","[{'start': 26, 'end': 43, 'label': 'DEP'}, {'start': 47, 'end': 57, 'label': 'ARR'}]"
Recherche le chemin le plus court entre SARCELLES et GRASSE.,"['Recherche', 'le', 'chemin', 'le', 'plus', 'court', 'entre', 'SARCELLES', 'et', 'GRASSE', '.']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0]","[{'start': 40, 'end': 49, 'label': 'DEP'}, {'start': 53, 'end': 59, 'label': 'ARR'}]"
Recherche le trajet le plus court vers VITROLLES à partir de VALLAURIS.,"['Recherche', 'le', 'trajet', 'le', 'plus', 'court', 'vers', 'VITROLLES', 'à', 'partir', 'de', 'VALLAURIS', '.']","[0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 0]","[{'start': 61, 'end': 70, 'label': 'DEP'}, {'start': 39, 'end': 48, 'label': 'ARR'}]"
Rendez-vous à VILLEPARISIS depuis BOULOGNE-BILLANCOURT.,"['Rendez', '-vous', 'à', 'VILLEPARISIS', 'depuis', 'BOULOGNE', '-', 'BILLANCOURT', '.']","[0, 0, 0, 3, 0, 0, 0, 0, 0]","[{'start': 34, 'end': 54, 'label': 'DEP'}, {'start': 14, 'end': 26, 'label': 'ARR'}]"
"Serait-il possible de me rendre de LE GRAND-QUEVILLY à HAZEBROUCK, s'il vous plaît ?","['Serait', '-il', 'possible', 'de', 'me', 'rendre', 'de', 'LE', 'GRAND-QUEVILLY', 'à', 'HAZEBROUCK', ',', ""s'"", 'il', 'vous', 'plaît', '?']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0]","[{'start': 35, 'end': 52, 'label': 'DEP'}, {'start': 55, 'end': 65, 'label': 'ARR'}]"
Trouve le meilleur itinéraire de PESSAC à SOTTEVILLE-LÈS-ROUEN.,"['Trouve', 'le', 'meilleur', 'itinéraire', 'de', 'PESSAC', 'à', 'SOTTEVILLE-LÈS-ROUEN', '.']","[0, 0, 0, 0, 0, 1, 0, 3, 0]","[{'start': 33, 'end': 39, 'label': 'DEP'}, {'start': 42, 'end': 62, 'label': 'ARR'}]"
Trouve un itinéraire de VILLEMOMBLE à BRUAY-LA-BUISSIÈRE.,"['Trouve', 'un', 'itinéraire', 'de', 'VILLEMOMBLE', 'à', 'BRUAY-LA-BUISSIÈRE', '.']","[0, 0, 0, 0, 1, 0, 3, 0]","[{'start': 24, 'end': 35, 'label': 'DEP'}, {'start': 38, 'end': 56, 'label': 'ARR'}]"
Trouve un itinéraire pour aller de VILLEFRANCHE-SUR-SAÔNE à SAINT-OUEN-SUR-SEINE.,"['Trouve', 'un', 'itinéraire', 'pour', 'aller', 'de', 'VILLEFRANCHE-SUR-SAÔNE', 'à', 'SAINT-OUEN-SUR-SEINE', '.']","[0, 0, 0, 0, 0, 0, 1, 0, 3, 0]","[{'start': 35, 'end': 57, 'label': 'DEP'}, {'start': 60, 'end': 80, 'label': 'ARR'}]"
Trouve un itinéraire pour aller à MARTIGUES depuis CAMBRAI.,"['Trouve', 'un', 'itinéraire', 'pour', 'aller', 'à', 'MARTIGUES', 'depuis', 'CAMBRAI', '.']","[0, 0, 0, 0, 0, 0, 3, 0, 1, 0]","[{'start': 51, 'end': 58, 'label': 'DEP'}, {'start': 34, 'end': 43, 'label': 'ARR'}]"
Trouve un itinéraire pour aller à TASSIN-LA-DEMI-LUNE en partant de COUDEKERQUE-BRANCHE.,"['Trouve', 'un', 'itinéraire', 'pour', 'aller', 'à', 'TASSIN', '-', 'LA', '-', 'DEMI', '-', 'LUNE', 'en', 'partant', 'de', 'COUDEKERQUE', '-', 'BRANCHE', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[{'start': 68, 'end': 87, 'label': 'DEP'}, {'start': 34, 'end': 53, 'label': 'ARR'}]"
Trouve un moyen d'atteindre ALENÇON depuis CARPENTRAS.,"['Trouve', 'un', 'moyen', ""d'"", 'atteindre', 'ALENÇON', 'depuis', 'CARPENTRAS', '.']","[0, 0, 0, 0, 0, 3, 0, 1, 0]","[{'start': 43, 'end': 53, 'label': 'DEP'}, {'start': 28, 'end': 35, 'label': 'ARR'}]"
Trouve-moi le chemin de LAGNY-SUR-MARNE à SCHILTIGHEIM.,"['Trouve', '-moi', 'le', 'chemin', 'de', 'LAGNY-SUR-MARNE', 'à', 'SCHILTIGHEIM', '.']","[0, 0, 0, 0, 0, 1, 0, 3, 0]","[{'start': 24, 'end': 39, 'label': 'DEP'}, {'start': 42, 'end': 54, 'label': 'ARR'}]"
Trouve-moi un itinéraire de VALLAURIS vers SAINT-JOSEPH.,"['Trouve', '-moi', 'un', 'itinéraire', 'de', 'VALLAURIS', 'vers', 'SAINT-JOSEPH', '.']","[0, 0, 0, 0, 0, 3, 0, 1, 0]","[{'start': 43, 'end': 55, 'label': 'DEP'}, {'start': 28, 'end': 37, 'label': 'ARR'}]"
Trouve-moi un itinéraire pour aller de CRÉTEIL à ANGOULÊME.,"['Trouve', '-moi', 'un', 'itinéraire', 'pour', 'aller', 'de', 'CRÉTEIL', 'à', 'ANGOULÊME', '.']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0]","[{'start': 39, 'end': 46, 'label': 'DEP'}, {'start': 49, 'end': 58, 'label': 'ARR'}]"
Trouve-moi un moyen de transport de SAINT-ÉTIENNE-DU-ROUVRAY jusqu'à PETIT-BOURG.,"['Trouve', '-moi', 'un', 'moyen', 'de', 'transport', 'de', 'SAINT-ÉTIENNE-DU-ROUVRAY', ""jusqu'"", 'à', 'PETIT-BOURG', '.']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0]","[{'start': 36, 'end': 60, 'label': 'DEP'}, {'start': 69, 'end': 80, 'label': 'ARR'}]"
Trouve-moi un moyen de transport de NOISY-LE-SEC vers ARCUEIL.,"['Trouve', '-moi', 'un', 'moyen', 'de', 'transport', 'de', 'NOISY-LE-SEC', 'vers', 'ARCUEIL', '.']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0]","[{'start': 36, 'end': 48, 'label': 'DEP'}, {'start': 54, 'end': 61, 'label': 'ARR'}]"
Trouver un moyen d'atteindre GUJAN-MESTRAS depuis LES PENNES-MIRABEAU est mon objectif.,"['Trouver', 'un', 'moyen', ""d'"", 'atteindre', 'GUJAN', '-', 'MESTRAS', 'depuis', 'LES', 'PENNES', '-', 'MIRABEAU', 'est', 'mon', 'objectif', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[{'start': 50, 'end': 69, 'label': 'DEP'}, {'start': 29, 'end': 42, 'label': 'ARR'}]"
Y a-t-il un moyen d'aller de BORDEAUX à JOINVILLE-LE-PONT ?,"['Y', 'a', '-t', '-il', 'un', 'moyen', ""d'"", 'aller', 'de', 'BORDEAUX', 'à', 'JOINVILLE-LE-PONT', '?']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0]","[{'start': 29, 'end': 37, 'label': 'DEP'}, {'start': 40, 'end': 57, 'label': 'ARR'}]"
Y a-t-il un moyen d'atteindre DEUIL-LA-BARRE depuis AUCH ?,"['Y', 'a', '-t', '-il', 'un', 'moyen', ""d'"", 'atteindre', 'DEUIL-LA-BARRE', 'depuis', 'AUCH', '?']","[0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 0]","[{'start': 52, 'end': 56, 'label': 'DEP'}, {'start': 30, 'end': 44, 'label': 'ARR'}]"
Quel est le meilleur moyen d’aller de NANTES à CARPENTRAS ?,"['Quel', 'est', 'le', 'meilleur', 'moyen', 'd’', 'aller', 'de', 'NANTES', 'à', 'CARPENTRAS', '?']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0]","[{'start': 38, 'end': 44, 'label': 'DEP'}, {'start': 47, 'end': 57, 'label': 'ARR'}]"
Y a-t-il une façon rapide de rejoindre MONTIGNY-LÈS-METZ depuis VILLIERS-SUR-MARNE ?,"['Y', 'a', '-t', '-il', 'une', 'façon', 'rapide', 'de', 'rejoindre', 'MONTIGNY-LÈS-METZ', 'depuis', 'VILLIERS-SUR-MARNE', '?']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 0]","[{'start': 64, 'end': 82, 'label': 'DEP'}, {'start': 39, 'end': 56, 'label': 'ARR'}]"
Comment trouver un itinéraire simple de MANDELIEU-LA-NAPOULE à LA ROCHE-SUR-YON ?,"['Comment', 'trouver', 'un', 'itinéraire', 'simple', 'de', 'MANDELIEU-LA-NAPOULE', 'à', 'LA', 'ROCHE-SUR-YON', '?']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[{'start': 40, 'end': 60, 'label': 'DEP'}, {'start': 63, 'end': 79, 'label': 'ARR'}]"
Est-il possible de faire le trajet de DIJON à LA VALETTE-DU-VAR ?,"['Est-il', 'possible', 'de', 'faire', 'le', 'trajet', 'de', 'DIJON', 'à', 'LA', 'VALETTE-DU-VAR', '?']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[{'start': 38, 'end': 43, 'label': 'DEP'}, {'start': 46, 'end': 63, 'label': 'ARR'}]"
Quel chemin prendre pour aller à MAUBEUGE depuis CHALLANS ?,"['Quel', 'chemin', 'prendre', 'pour', 'aller', 'à', 'MAUBEUGE', 'depuis', 'CHALLANS', '?']","[0, 0, 0, 0, 0, 0, 3, 0, 1, 0]","[{'start': 49, 'end': 57, 'label': 'DEP'}, {'start': 33, 'end': 41, 'label': 'ARR'}]"
Comment se déplacer de VICHY jusqu’à VILLEMOMBLE ?,"['Comment', 'se', 'déplacer', 'de', 'VICHY', 'jusqu’', 'à', 'VILLEMOMBLE', '?']","[0, 0, 0, 0, 1, 0, 0, 3, 0]","[{'start': 23, 'end': 28, 'label': 'DEP'}, {'start': 37, 'end': 48, 'label': 'ARR'}]"
As-tu un conseil pour un trajet efficace de LA MADELEINE à CACHAN ?,"['As', '-', 'tu', 'un', 'conseil', 'pour', 'un', 'trajet', 'efficace', 'de', 'LA', 'MADELEINE', 'à', 'CACHAN', '?']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]","[{'start': 44, 'end': 56, 'label': 'DEP'}, {'start': 59, 'end': 65, 'label': 'ARR'}]"
Peux-tu me conseiller un itinéraire pour aller à VÉNISSIEUX en partant de CROIX ?,"['Peux', '-', 'tu', 'me', 'conseiller', 'un', 'itinéraire', 'pour', 'aller', 'à', 'VÉNISSIEUX', 'en', 'partant', 'de', 'CROIX', '?']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 0]","[{'start': 74, 'end': 79, 'label': 'DEP'}, {'start': 49, 'end': 59, 'label': 'ARR'}]"
Comment me déplacer rapidement de CREIL vers DAMMARIE-LES-LYS ?,"['Comment', 'me', 'déplacer', 'rapidement', 'de', 'CREIL', 'vers', 'DAMMARIE-LES-LYS', '?']","[0, 0, 0, 0, 0, 1, 0, 3, 0]","[{'start': 34, 'end': 39, 'label': 'DEP'}, {'start': 45, 'end': 61, 'label': 'ARR'}]"
Existe-t-il un itinéraire simple de MONTMORENCY à PONTOISE ?,"['Existe', '-t', '-il', 'un', 'itinéraire', 'simple', 'de', 'MONTMORENCY', 'à', 'PONTOISE', '?']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0]","[{'start': 36, 'end': 47, 'label': 'DEP'}, {'start': 50, 'end': 58, 'label': 'ARR'}]"
Quels transports sont disponibles de SAINT-ÉTIENNE à COURBEVOIE ?,"['Quels', 'transports', 'sont', 'disponibles', 'de', 'SAINT-ÉTIENNE', 'à', 'COURBEVOIE', '?']","[0, 0, 0, 0, 0, 1, 0, 3, 0]","[{'start': 37, 'end': 50, 'label': 'DEP'}, {'start': 53, 'end': 63, 'label': 'ARR'}]"
Quelles sont les options de trajet de SAINT-SÉBASTIEN-SUR-LOIRE à SAINT-PRIEST ?,"['Quelles', 'sont', 'les', 'options', 'de', 'trajet', 'de', 'SAINT-SÉBASTIEN-SUR-LOIRE', 'à', 'SAINT-PRIEST', '?']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0]","[{'start': 38, 'end': 63, 'label': 'DEP'}, {'start': 66, 'end': 78, 'label': 'ARR'}]"
Où dois-je aller pour atteindre CROIX depuis CAEN ?,"['Où', 'dois', '-je', 'aller', 'pour', 'atteindre', 'CROIX', 'depuis', 'CAEN', '?']","[0, 0, 0, 0, 0, 0, 3, 0, 1, 0]","[{'start': 45, 'end': 49, 'label': 'DEP'}, {'start': 32, 'end': 37, 'label': 'ARR'}]"
Peux-tu m’aider à choisir le meilleur trajet de SAINT-DENIS vers SAINT-JOSEPH ?,"['Peux', '-', 'tu', 'm’', 'aider', 'à', 'choisir', 'le', 'meilleur', 'trajet', 'de', 'SAINT-DENIS', 'vers', 'SAINT-JOSEPH', '?']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0]","[{'start': 48, 'end': 59, 'label': 'DEP'}, {'start': 65, 'end': 77, 'label': 'ARR'}]"
Est-ce que tu connais un bon itinéraire pour rejoindre LONGJUMEAU en partant de COLMAR ?,"['Est', '-ce', 'que', 'tu', 'connais', 'un', 'bon', 'itinéraire', 'pour', 'rejoindre', 'LONGJUMEAU', 'en', 'partant', 'de', 'COLMAR', '?']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 0]","[{'start': 80, 'end': 86, 'label': 'DEP'}, {'start': 55, 'end': 65, 'label': 'ARR'}]"
Quelles étapes dois-je suivre pour aller à VILLEJUIF depuis MANOSQUE ?,"['Quelles', 'étapes', 'dois', '-je', 'suivre', 'pour', 'aller', 'à', 'VILLEJUIF', 'depuis', 'MANOSQUE', '?']","[0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 0]","[{'start': 60, 'end': 68, 'label': 'DEP'}, {'start': 43, 'end': 52, 'label': 'ARR'}]"
Montre-moi la route la plus simple entre CAYENNE et SAUMUR.,"['Montre', '-moi', 'la', 'route', 'la', 'plus', 'simple', 'entre', 'CAYENNE', 'et', 'SAUMUR', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0]","[{'start': 41, 'end': 48, 'label': 'DEP'}, {'start': 52, 'end': 58, 'label': 'ARR'}]"
Je veux savoir quel trajet prendre pour aller de LIMEIL-BRÉVANNES à HÉNIN-BEAUMONT.,"['Je', 'veux', 'savoir', 'quel', 'trajet', 'prendre', 'pour', 'aller', 'de', 'LIMEIL', '-', 'BRÉVANNES', 'à', 'HÉNIN', '-', 'BEAUMONT', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[{'start': 49, 'end': 65, 'label': 'DEP'}, {'start': 68, 'end': 82, 'label': 'ARR'}]"
Montre-moi les options de transport de MONTEREAU-FAULT-YONNE vers BAGNOLET.,"['Montre', '-moi', 'les', 'options', 'de', 'transport', 'de', 'MONTEREAU', '-', 'FAULT', '-', 'YONNE', 'vers', 'BAGNOLET', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]","[{'start': 39, 'end': 60, 'label': 'DEP'}, {'start': 66, 'end': 74, 'label': 'ARR'}]"
Est-ce qu’il y a une ligne directe entre VANVES et ANTIBES ?,"['Est', '-ce', 'qu’', 'il', 'y', 'a', 'une', 'ligne', 'directe', 'entre', 'VANVES', 'et', 'ANTIBES', '?']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0]","[{'start': 41, 'end': 47, 'label': 'DEP'}, {'start': 51, 'end': 58, 'label': 'ARR'}]"
J’aimerais avoir des conseils pour voyager de LES MUREAUX à SARREGUEMINES.,"['J’', 'aimerais', 'avoir', 'des', 'conseils', 'pour', 'voyager', 'de', 'LES', 'MUREAUX', 'à', 'SARREGUEMINES', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]","[{'start': 46, 'end': 57, 'label': 'DEP'}, {'start': 60, 'end': 73, 'label': 'ARR'}]"
Y a-t-il une route directe de SAINT-CLOUD à BERGERAC ?,"['Y', 'a', '-t', '-il', 'une', 'route', 'directe', 'de', 'SAINT-CLOUD', 'à', 'BERGERAC', '?']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0]","[{'start': 30, 'end': 41, 'label': 'DEP'}, {'start': 44, 'end': 52, 'label': 'ARR'}]"
As-tu un itinéraire précis de NEUILLY-SUR-MARNE à LORMONT ?,"['As', '-', 'tu', 'un', 'itinéraire', 'précis', 'de', 'NEUILLY-SUR-MARNE', 'à', 'LORMONT', '?']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0]","[{'start': 30, 'end': 47, 'label': 'DEP'}, {'start': 50, 'end': 57, 'label': 'ARR'}]"
Puis-je rejoindre ILLKIRCH-GRAFFENSTADEN facilement depuis ANGLET ?,"['Puis', '-je', 'rejoindre', 'ILLKIRCH', '-', 'GRAFFENSTADEN', 'facilement', 'depuis', 'ANGLET', '?']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[{'start': 59, 'end': 65, 'label': 'DEP'}, {'start': 18, 'end': 40, 'label': 'ARR'}]"
Est-ce que tu peux trouver un trajet qui passe par GENNEVILLIERS depuis MONTIGNY-LÈS-CORMEILLES ?,"['Est', '-ce', 'que', 'tu', 'peux', 'trouver', 'un', 'trajet', 'qui', 'passe', 'par', 'GENNEVILLIERS', 'depuis', 'MONTIGNY-LÈS-CORMEILLES', '?']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 0]","[{'start': 72, 'end': 95, 'label': 'DEP'}, {'start': 51, 'end': 64, 'label': 'ARR'}]"
Je souhaite me rendre de SAINT-CLOUD à BRUAY-LA-BUISSIÈRE par le chemin le plus rapide.,"['Je', 'souhaite', 'me', 'rendre', 'de', 'SAINT-CLOUD', 'à', 'BRUAY-LA-BUISSIÈRE', 'par', 'le', 'chemin', 'le', 'plus', 'rapide', '.']","[0, 0, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 0]","[{'start': 25, 'end': 36, 'label': 'DEP'}, {'start': 39, 'end': 57, 'label': 'ARR'}]"
Quel est le moyen de transport le plus rapide de ACHÈRES à VÉNISSIEUX ?,"['Quel', 'est', 'le', 'moyen', 'de', 'transport', 'le', 'plus', 'rapide', 'de', 'ACHÈRES', 'à', 'VÉNISSIEUX', '?']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0]","[{'start': 49, 'end': 56, 'label': 'DEP'}, {'start': 59, 'end': 69, 'label': 'ARR'}]"
Comment faire pour aller à SAINT-MAUR-DES-FOSSÉS à partir de MOULINS de manière efficace ?,"['Comment', 'faire', 'pour', 'aller', 'à', 'SAINT-MAUR-DES-FOSSÉS', 'à', 'partir', 'de', 'MOULINS', 'de', 'manière', 'efficace', '?']","[0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 0]","[{'start': 61, 'end': 68, 'label': 'DEP'}, {'start': 27, 'end': 48, 'label': 'ARR'}]"
Je veux les étapes précises pour aller de MATOURY jusqu'à SAINT-BRIEUC.,"['Je', 'veux', 'les', 'étapes', 'précises', 'pour', 'aller', 'de', 'MATOURY', ""jusqu'"", 'à', 'SAINT-BRIEUC', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0]","[{'start': 42, 'end': 49, 'label': 'DEP'}, {'start': 58, 'end': 70, 'label': 'ARR'}]"
Trouve-moi la façon la plus rapide de me rendre de MAISONS-LAFFITTE à SAINT-BRIEUC.,"['Trouve', '-moi', 'la', 'façon', 'la', 'plus', 'rapide', 'de', 'me', 'rendre', 'de', 'MAISONS', '-', 'LAFFITTE', 'à', 'SAINT-BRIEUC', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]","[{'start': 51, 'end': 67, 'label': 'DEP'}, {'start': 70, 'end': 82, 'label': 'ARR'}]"
Y a-t-il un bus ou un train de SAINT-PRIEST vers VILLEJUIF ?,"['Y', 'a', '-t', '-il', 'un', 'bus', 'ou', 'un', 'train', 'de', 'SAINT-PRIEST', 'vers', 'VILLEJUIF', '?']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0]","[{'start': 31, 'end': 43, 'label': 'DEP'}, {'start': 49, 'end': 58, 'label': 'ARR'}]"
Quel est l’itinéraire le plus sûr pour aller à DÉCINES-CHARPIEU depuis MAISONS-ALFORT ?,"['Quel', 'est', 'l’', 'itinéraire', 'le', 'plus', 'sûr', 'pour', 'aller', 'à', 'DÉCINES', '-', 'CHARPIEU', 'depuis', 'MAISONS', '-', 'ALFORT', '?']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[{'start': 71, 'end': 85, 'label': 'DEP'}, {'start': 47, 'end': 63, 'label': 'ARR'}]"
Peux-tu m’aider avec un trajet simple entre AUCH et ANGOULÊME ?,"['Peux', '-', 'tu', 'm’', 'aider', 'avec', 'un', 'trajet', 'simple', 'entre', 'AUCH', 'et', 'ANGOULÊME', '?']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0]","[{'start': 44, 'end': 48, 'label': 'DEP'}, {'start': 52, 'end': 61, 'label': 'ARR'}]"
Est-il possible de rejoindre AGEN sans détour depuis CHAVILLE ?,"['Est-il', 'possible', 'de', 'rejoindre', 'AGEN', 'sans', 'détour', 'depuis', 'CHAVILLE', '?']","[0, 0, 0, 0, 3, 0, 0, 0, 1, 0]","[{'start': 53, 'end': 61, 'label': 'DEP'}, {'start': 29, 'end': 33, 'label': 'ARR'}]"
Quels sont les meilleurs itinéraires pour voyager de VILLENEUVE-LA-GARENNE à CHARLEVILLE-MÉZIÈRES ?,"['Quels', 'sont', 'les', 'meilleurs', 'itinéraires', 'pour', 'voyager', 'de', 'VILLENEUVE-LA-GARENNE', 'à', 'CHARLEVILLE', '-', 'MÉZIÈRES', '?']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[{'start': 53, 'end': 74, 'label': 'DEP'}, {'start': 77, 'end': 97, 'label': 'ARR'}]"
Indique-moi les directions de MALAKOFF à SAINT-JEAN-DE-BRAYE étape par étape.,"['Indique', '-moi', 'les', 'directions', 'de', 'MALAKOFF', 'à', 'SAINT-JEAN-DE-BRAYE', 'étape', 'par', 'étape', '.']","[0, 0, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0]","[{'start': 30, 'end': 38, 'label': 'DEP'}, {'start': 41, 'end': 60, 'label': 'ARR'}]"
Quel moyen de transport me conseillez-vous pour aller de SÈTE à COLOMIERS ?,"['Quel', 'moyen', 'de', 'transport', 'me', 'conseillez', '-vous', 'pour', 'aller', 'de', 'SÈTE', 'à', 'COLOMIERS', '?']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0]","[{'start': 57, 'end': 61, 'label': 'DEP'}, {'start': 64, 'end': 73, 'label': 'ARR'}]"
Quel est le parcours le plus rapide entre MEUDON et PÉRIGUEUX ?,"['Quel', 'est', 'le', 'parcours', 'le', 'plus', 'rapide', 'entre', 'MEUDON', 'et', 'PÉRIGUEUX', '?']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0]","[{'start': 42, 'end': 48, 'label': 'DEP'}, {'start': 52, 'end': 61, 'label': 'ARR'}]"
Puis-je facilement accéder à YERRES en partant de CHALLANS ?,"['Puis', '-je', 'facilement', 'accéder', 'à', 'YERRES', 'en', 'partant', 'de', 'CHALLANS', '?']","[0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 0]","[{'start': 50, 'end': 58, 'label': 'DEP'}, {'start': 29, 'end': 35, 'label': 'ARR'}]"
